local_png	cell	fp	q	stored_bytes	stored_encode_ms	stored_ssim2	stored_zensim	origin_id	variant_name	width	height
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	1230e6049d2aab27	85	54338	1162.987	90.745189	91.074236	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s4-bd10	b3b476df0818fa3f	95	94722	1323.272	94.255485	93.477939	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	d09a23cc22854d41	5	3569	603.659	-6.356527	9.035634	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	05c6e700503950ab	15	4989	616.898	10.699333	14.456337	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	0f51b4bb79ec626b	30	9249	645.940	38.703742	39.202169	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	e51b7b3bbcda2a43	50	19988	511.538	65.051254	60.962790	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	d75d6e095a487cd9	70	35302	568.017	77.218897	72.584869	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	ce18d71d8d40bdcb	85	53811	594.620	82.369294	77.353775	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-420	3a40b39ec47e2a83	95	79368	640.494	83.078285	77.874589	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	960923d3d79ac69f	5	6100	1104.665	2.432653	-1.528513	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	2ef1cdbfc6ed4ed9	15	8260	1170.268	17.381333	13.160005	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	ca81cbce092ab599	30	14116	1277.276	43.428231	39.864125	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	aea60bd8b885f6c1	50	27724	1029.492	69.129467	68.780962	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	3ac419427415e3c7	70	48491	1140.674	83.507852	84.973903	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	ba44f7728d9f4c39	85	78537	1275.607	90.672210	91.659239	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s6-rgb	735e99b8a75ccd11	95	119474	1332.809	94.011854	93.355987	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	8657c728f73693f5	5	4220	687.429	-4.504921	10.190488	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	8c7398c5d1e1093b	15	6049	720.282	11.319182	15.924349	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	212b132062447cfb	30	11227	773.721	41.766374	41.882224	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	2da456b397b08e13	50	22658	523.622	68.717343	68.735361	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	672916fc5182368d	70	37352	546.601	82.068479	83.219904	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	927bd759e32e27a3	85	56739	604.438	89.608398	90.201152	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_5338.png.scale495x640.png	s8-noqm	7c02c9cddeb0336b	95	86504	665.810	93.438753	92.431858	5338	o_5338.png.scale495x640	495	640
/mnt/v/output/clean-picker-corpus-2026-06-26/o_7026.png.scale512x512.png	s2	da3283310b32ad30	5	2296	3606.810	12.461584	13.207385	7026	o_7026.png.scale512x512	512	512
/mnt/v/output/clean-picker-corpus-2026-06-26/o_7026.png.scale512x512.png	s2	be3a64f006cd07aa	15	2981	4098.970	25.803952	27.919237	7026	o_7026.png.scale512x512	512	512
/mnt/v/output/clean-picker-corpus-2026-06-26/o_7026.png.scale512x512.png	s2	52f1df4a97307b6a	30	4772	5093.125	49.758631	52.565790	7026	o_7026.png.scale512x512	512	512
/mnt/v/output/clean-picker-corpus-2026-06-26/o_7026.png.scale512x512.png	s2	5d111e4b7af2f456	50	8065	4031.959	74.939546	77.208048	7026	o_7026.png.scale512x512	512	512
/mnt/v/output/clean-picker-corpus-2026-06-26/o_7026.png.scale512x512.png	s2	c4ec826d2fb656fc	70	11975	4578.622	86.512682	88.590451	7026	o_7026.png.scale512x512	512	512
